кол-во_лингв_перемен    кол-во_термов  функция   кол-во_правил    mse
4                           3           трапец      243             0.06452266529660826
4                           5           трапец      3125            0.06082311837258619
5                           3           трапец      729             0.06452266529660826
5                           5           трапец      15626           0.06082311837258619
4                           3           треуго      243             1
4                           5           треуго      3125            1
5                           3           треуго      729             1
5                           5           треуго      15626           1
4                           3           гауссо      243             1
4                           5           гауссо      3125            1
5                           3           гауссо      729             1
5                           5           гауссо      15626           1
