–азмерность обучающей выборки: (8000, 4)
–азмерность тестовой выборки: (2000, 4)
 оличество правил: -  243
Mean Squared Error (MSE): 0.12560472168116257
start gradient descent
Ёпоха 1, ошибка: 0.045681869943503865, скорость обучени€: 0.1
Ёпоха 2, ошибка: 0.009118979424120995, скорость обучени€: 0.1
Ёпоха 3, ошибка: 0.00697779866484569, скорость обучени€: 0.1
Ёпоха 4, ошибка: 0.008235045542995846, скорость обучени€: 0.1
Ёпоха 5, ошибка: 0.00865734576645587, скорость обучени€: 0.1
Ёпоха 6, ошибка: 0.008669090997671287, скорость обучени€: 0.1
Ёпоха 7, ошибка: 0.008560011602519905, скорость обучени€: 0.1
Ёпоха 8, ошибка: 0.008458489293226908, скорость обучени€: 0.09000000000000001
Ёпоха 9, ошибка: 0.00822035200440261, скорость обучени€: 0.08100000000000002
Ёпоха 10, ошибка: 0.00801816080161929, скорость обучени€: 0.07290000000000002
Ёпоха 11, ошибка: 0.007804656027362485, скорость обучени€: 0.06561000000000002
Ёпоха 12, ошибка: 0.0075909805440630505, скорость обучени€: 0.05904900000000002
Ёпоха 13, ошибка: 0.007414253501578011, скорость обучени€: 0.05314410000000002
Ёпоха 14, ошибка: 0.007201045781261149, скорость обучени€: 0.04782969000000002
Ёпоха 15, ошибка: 0.007013599554083087, скорость обучени€: 0.043046721000000024
Ёпоха 16, ошибка: 0.006863373387989478, скорость обучени€: 0.043046721000000024
Ёпоха 17, ошибка: 0.006789247568359766, скорость обучени€: 0.043046721000000024
Ёпоха 18, ошибка: 0.006725017622483865, скорость обучени€: 0.043046721000000024
Ёпоха 19, ошибка: 0.006668255078106663, скорость обучени€: 0.043046721000000024
Ёпоха 20, ошибка: 0.0066063231457083975, скорость обучени€: 0.043046721000000024
Ёпоха 21, ошибка: 0.006546130732545738, скорость обучени€: 0.043046721000000024
Ёпоха 22, ошибка: 0.006485629602990053, скорость обучени€: 0.043046721000000024
Ёпоха 23, ошибка: 0.0064285402253173455, скорость обучени€: 0.043046721000000024
Ёпоха 24, ошибка: 0.006382260521502932, скорость обучени€: 0.043046721000000024
Ёпоха 25, ошибка: 0.006339839136547978, скорость обучени€: 0.043046721000000024
Ёпоха 26, ошибка: 0.006300590710099689, скорость обучени€: 0.043046721000000024
Ёпоха 27, ошибка: 0.0062640310141654654, скорость обучени€: 0.043046721000000024
Ёпоха 28, ошибка: 0.006229807474048605, скорость обучени€: 0.043046721000000024
Ёпоха 29, ошибка: 0.006197654881160351, скорость обучени€: 0.043046721000000024
Ёпоха 30, ошибка: 0.006167366968686617, скорость обучени€: 0.043046721000000024
Ёпоха 31, ошибка: 0.006138778031456626, скорость обучени€: 0.043046721000000024
Ёпоха 32, ошибка: 0.006105171327105057, скорость обучени€: 0.043046721000000024
Ёпоха 33, ошибка: 0.006069613654292036, скорость обучени€: 0.043046721000000024
Ёпоха 34, ошибка: 0.006037275558578277, скорость обучени€: 0.043046721000000024
Ёпоха 35, ошибка: 0.006008088505682161, скорость обучени€: 0.043046721000000024
Ёпоха 36, ошибка: 0.005982538208046959, скорость обучени€: 0.043046721000000024
Ёпоха 37, ошибка: 0.005958333219669671, скорость обучени€: 0.043046721000000024
Ёпоха 38, ошибка: 0.005935279084619877, скорость обучени€: 0.043046721000000024
Ёпоха 39, ошибка: 0.005913188057462345, скорость обучени€: 0.043046721000000024
Ёпоха 40, ошибка: 0.005891734609405724, скорость обучени€: 0.043046721000000024
Ёпоха 41, ошибка: 0.005871473084371564, скорость обучени€: 0.043046721000000024
Ёпоха 42, ошибка: 0.005852199882361206, скорость обучени€: 0.043046721000000024
Ёпоха 43, ошибка: 0.005833773065371263, скорость обучени€: 0.043046721000000024
Ёпоха 44, ошибка: 0.005816091226856082, скорость обучени€: 0.043046721000000024
Ёпоха 45, ошибка: 0.005799079797654554, скорость обучени€: 0.043046721000000024
Ёпоха 46, ошибка: 0.00578268214720688, скорость обучени€: 0.043046721000000024
Ёпоха 47, ошибка: 0.005766853783088489, скорость обучени€: 0.043046721000000024
Ёпоха 48, ошибка: 0.005751558556058544, скорость обучени€: 0.043046721000000024
Ёпоха 49, ошибка: 0.00573676616560537, скорость обучени€: 0.043046721000000024
Ёпоха 50, ошибка: 0.005722450510413342, скорость обучени€: 0.043046721000000024
Ёпоха 51, ошибка: 0.005708588588962622, скорость обучени€: 0.043046721000000024
Ёпоха 52, ошибка: 0.005701928687674324, скорость обучени€: 0.043046721000000024
Ёпоха 53, ошибка: 0.005694667752722702, скорость обучени€: 0.043046721000000024
Ёпоха 54, ошибка: 0.005687087912014792, скорость обучени€: 0.043046721000000024
Ёпоха 55, ошибка: 0.005679415733341376, скорость обучени€: 0.043046721000000024
Ёпоха 56, ошибка: 0.0056721148353126565, скорость обучени€: 0.043046721000000024
Ёпоха 57, ошибка: 0.005665735600525554, скорость обучени€: 0.043046721000000024
Ёпоха 58, ошибка: 0.005661327992701665, скорость обучени€: 0.043046721000000024
Ёпоха 59, ошибка: 0.00565902993615755, скорость обучени€: 0.043046721000000024
Ёпоха 60, ошибка: 0.005655193688725383, скорость обучени€: 0.043046721000000024
Ёпоха 61, ошибка: 0.005650435927281382, скорость обучени€: 0.043046721000000024
Ёпоха 62, ошибка: 0.005645161987990727, скорость обучени€: 0.043046721000000024
Ёпоха 63, ошибка: 0.005639637344804257, скорость обучени€: 0.043046721000000024
Ёпоха 64, ошибка: 0.005634035046251925, скорость обучени€: 0.043046721000000024
Ёпоха 65, ошибка: 0.005628467139763138, скорость обучени€: 0.043046721000000024
Ёпоха 66, ошибка: 0.005623005463901631, скорость обучени€: 0.043046721000000024
Ёпоха 67, ошибка: 0.005617695394765573, скорость обучени€: 0.043046721000000024
Ёпоха 68, ошибка: 0.005612564928873762, скорость обучени€: 0.043046721000000024
Ёпоха 69, ошибка: 0.005607630681734903, скорость обучени€: 0.043046721000000024
Ёпоха 70, ошибка: 0.005602901847529502, скорость обучени€: 0.043046721000000024
Ёпоха 71, ошибка: 0.005597459424002078, скорость обучени€: 0.043046721000000024
Ёпоха 72, ошибка: 0.005589938303731171, скорость обучени€: 0.043046721000000024
Ёпоха 73, ошибка: 0.005579984041523541, скорость обучени€: 0.043046721000000024
Ёпоха 74, ошибка: 0.005571163299533965, скорость обучени€: 0.043046721000000024
Ёпоха 75, ошибка: 0.005563148337690411, скорость обучени€: 0.043046721000000024
Ёпоха 76, ошибка: 0.0055557223970670285, скорость обучени€: 0.043046721000000024
Ёпоха 77, ошибка: 0.005548741495214542, скорость обучени€: 0.043046721000000024
Ёпоха 78, ошибка: 0.005543379378216963, скорость обучени€: 0.043046721000000024
Ёпоха 79, ошибка: 0.0055375874515617395, скорость обучени€: 0.043046721000000024
Ёпоха 80, ошибка: 0.0055314778982341935, скорость обучени€: 0.043046721000000024
Ёпоха 81, ошибка: 0.005525212471716093, скорость обучени€: 0.043046721000000024
Ёпоха 82, ошибка: 0.005518896939435927, скорость обучени€: 0.043046721000000024
Ёпоха 83, ошибка: 0.005512599995356459, скорость обучени€: 0.043046721000000024
