2024-04-22 16:14:33 Размерность обучающей выборки: (8000, 4)
2024-04-22 16:14:33 Размерность тестовой выборки: (2000, 4)
2024-04-22 16:14:34 Количество правил: -  3125
2024-04-22 16:14:34 start gradient descent
2024-04-22 16:15:49 Эпоха 1, ошибка: 0.21139111351438888, скорость обучения: 0.1
2024-04-22 16:17:03 Эпоха 2, ошибка: 0.20282815759236653, скорость обучения: 0.1
2024-04-22 16:18:19 Эпоха 3, ошибка: 0.1888755104326092, скорость обучения: 0.1
2024-04-22 16:19:34 Эпоха 4, ошибка: 0.17494265387504315, скорость обучения: 0.1
2024-04-22 16:20:49 Эпоха 5, ошибка: 0.1525912080120771, скорость обучения: 0.1
2024-04-22 16:22:05 Эпоха 6, ошибка: 0.13227040115129363, скорость обучения: 0.1
2024-04-22 16:23:20 Эпоха 7, ошибка: 0.11446133962270064, скорость обучения: 0.1
2024-04-22 16:24:38 Эпоха 8, ошибка: 0.10027491041096816, скорость обучения: 0.1
2024-04-22 16:25:54 Эпоха 9, ошибка: 0.0891710659141885, скорость обучения: 0.1
2024-04-22 16:27:11 Эпоха 10, ошибка: 0.08038095190006356, скорость обучения: 0.1
2024-04-22 16:28:27 Эпоха 11, ошибка: 0.07341637449790206, скорость обучения: 0.1
2024-04-22 16:29:44 Эпоха 12, ошибка: 0.06771781617255508, скорость обучения: 0.1
2024-04-22 16:31:00 Эпоха 13, ошибка: 0.06296626340721193, скорость обучения: 0.1
2024-04-22 16:32:17 Эпоха 14, ошибка: 0.05892934523239628, скорость обучения: 0.1
2024-04-22 16:33:33 Эпоха 15, ошибка: 0.055414099149575916, скорость обучения: 0.1
2024-04-22 16:34:52 Эпоха 16, ошибка: 0.05236308188556245, скорость обучения: 0.1
2024-04-22 16:36:07 Эпоха 17, ошибка: 0.049538850905792145, скорость обучения: 0.1
2024-04-22 16:37:24 Эпоха 18, ошибка: 0.04678641751275793, скорость обучения: 0.1
2024-04-22 16:38:41 Эпоха 19, ошибка: 0.04426931004466408, скорость обучения: 0.1
2024-04-22 16:39:58 Эпоха 20, ошибка: 0.04235647038354582, скорость обучения: 0.1
2024-04-22 16:41:16 Эпоха 21, ошибка: 0.03611245813038426, скорость обучения: 0.1
2024-04-22 16:42:31 Эпоха 22, ошибка: 0.044012876778771456, скорость обучения: 0.1
2024-04-22 16:43:47 Эпоха 23, ошибка: 0.03830956830449669, скорость обучения: 0.1
2024-04-22 16:45:04 Эпоха 24, ошибка: 0.03408316819311799, скорость обучения: 0.1
2024-04-22 16:46:22 Эпоха 25, ошибка: 0.030927221194072978, скорость обучения: 0.1
2024-04-22 16:47:36 Эпоха 26, ошибка: 0.02869884606814331, скорость обучения: 0.1
2024-04-22 16:48:53 Эпоха 27, ошибка: 0.02739971419143452, скорость обучения: 0.1
2024-04-22 16:50:08 Эпоха 28, ошибка: 0.0264822591854355, скорость обучения: 0.1
2024-04-22 16:51:25 Эпоха 29, ошибка: 0.025733217055397186, скорость обучения: 0.1
2024-04-22 16:52:41 Эпоха 30, ошибка: 0.02511201960399117, скорость обучения: 0.1
2024-04-22 16:53:57 Эпоха 31, ошибка: 0.02460301502113112, скорость обучения: 0.1
2024-04-22 16:55:14 Эпоха 32, ошибка: 0.024066434649655168, скорость обучения: 0.1
2024-04-22 16:56:30 Эпоха 33, ошибка: 0.02352239175176262, скорость обучения: 0.1
2024-04-22 16:57:47 Эпоха 34, ошибка: 0.023133877390859266, скорость обучения: 0.1
2024-04-22 16:59:06 Эпоха 35, ошибка: 0.022928384034214325, скорость обучения: 0.1
2024-04-22 17:00:24 Эпоха 36, ошибка: 0.022811706490603004, скорость обучения: 0.1
2024-04-22 17:01:40 Эпоха 37, ошибка: 0.022615294189398755, скорость обучения: 0.1
2024-04-22 17:02:59 Эпоха 38, ошибка: 0.02234455955342329, скорость обучения: 0.1
2024-04-22 17:04:17 Эпоха 39, ошибка: 0.022037178943678345, скорость обучения: 0.1
2024-04-22 17:05:34 Эпоха 40, ошибка: 0.021710193684233745, скорость обучения: 0.1
2024-04-22 17:06:51 Эпоха 41, ошибка: 0.02138166834128112, скорость обучения: 0.1
2024-04-22 17:08:09 Эпоха 42, ошибка: 0.02106181159760303, скорость обучения: 0.1
2024-04-22 17:09:27 Эпоха 43, ошибка: 0.020754299368823476, скорость обучения: 0.1
2024-04-22 17:10:44 Эпоха 44, ошибка: 0.020461516443336325, скорость обучения: 0.1
2024-04-22 17:12:04 Эпоха 45, ошибка: 0.020184892051278686, скорость обучения: 0.1
2024-04-22 17:13:26 Эпоха 46, ошибка: 0.019925158950740568, скорость обучения: 0.1
2024-04-22 17:14:45 Эпоха 47, ошибка: 0.019682550370447124, скорость обучения: 0.1
2024-04-22 17:16:05 Эпоха 48, ошибка: 0.0194569479051993, скорость обучения: 0.1
2024-04-22 17:17:26 Эпоха 49, ошибка: 0.01924799144527707, скорость обучения: 0.1
2024-04-22 17:18:48 Эпоха 50, ошибка: 0.01905516011973804, скорость обучения: 0.1
2024-04-22 17:20:09 Эпоха 51, ошибка: 0.01887783133715432, скорость обучения: 0.1
2024-04-22 17:21:33 Эпоха 52, ошибка: 0.01871532341188178, скорость обучения: 0.1
2024-04-22 17:22:53 Эпоха 53, ошибка: 0.018566925974585025, скорость обучения: 0.1
2024-04-22 17:24:17 Эпоха 54, ошибка: 0.018431921349693958, скорость обучения: 0.1
2024-04-22 17:25:36 Эпоха 55, ошибка: 0.018309599295155, скорость обучения: 0.1
2024-04-22 17:26:56 Эпоха 56, ошибка: 0.018199266896881564, скорость обучения: 0.1
2024-04-22 17:28:15 Эпоха 57, ошибка: 0.01810025495244617, скорость обучения: 0.1
2024-04-22 17:29:33 Эпоха 58, ошибка: 0.0180119218330995, скорость обучения: 0.1
2024-04-22 17:30:51 Эпоха 59, ошибка: 0.017933655553871004, скорость обучения: 0.1
2024-04-22 17:32:12 Эпоха 60, ошибка: 0.017864874587644852, скорость обучения: 0.1
2024-04-22 17:33:32 Эпоха 61, ошибка: 0.01780502781471429, скорость обучения: 0.1
2024-04-22 17:34:53 Эпоха 62, ошибка: 0.017753593892144533, скорость обучения: 0.1
2024-04-22 17:36:10 Эпоха 63, ошибка: 0.017710080247992803, скорость обучения: 0.1
2024-04-22 17:37:27 Эпоха 64, ошибка: 0.017674021846988974, скорость обучения: 0.1
2024-04-22 17:38:46 Эпоха 65, ошибка: 0.017644979831363296, скорость обучения: 0.1
2024-04-22 17:40:03 Эпоха 66, ошибка: 0.01762254010912869, скорость обучения: 0.1
2024-04-22 17:41:17 Эпоха 67, ошибка: 0.01760631193929568, скорость обучения: 0.1
2024-04-22 17:42:21 Эпоха 68, ошибка: 0.017595926546990822, скорость обучения: 0.1
2024-04-22 17:43:25 Эпоха 69, ошибка: 0.017591035789602312, скорость обучения: 0.1
2024-04-22 17:44:29 Эпоха 70, ошибка: 0.017591310886647026, скорость обучения: 0.1
2024-04-22 17:45:32 Эпоха 71, ошибка: 0.017596441220132663, скорость обучения: 0.1
2024-04-22 17:46:35 Эпоха 72, ошибка: 0.017606133208088036, скорость обучения: 0.1
2024-04-22 17:47:39 Эпоха 73, ошибка: 0.01762010925115835, скорость обучения: 0.1
2024-04-22 17:48:42 Эпоха 74, ошибка: 0.01763810675033498, скорость обучения: 0.09000000000000001
2024-04-22 17:49:46 Эпоха 75, ошибка: 0.017614007997723863, скорость обучения: 0.08100000000000002
2024-04-22 17:50:49 Эпоха 76, ошибка: 0.017596292767189915, скорость обучения: 0.07290000000000002
2024-04-22 17:51:52 Эпоха 77, ошибка: 0.017583652501897678, скорость обучения: 0.07290000000000002
2024-04-22 17:52:55 Эпоха 78, ошибка: 0.017604618776736795, скорость обучения: 0.07290000000000002
2024-04-22 17:53:58 Эпоха 79, ошибка: 0.017628008210161597, скорость обучения: 0.07290000000000002
2024-04-22 17:55:01 Эпоха 80, ошибка: 0.017653563995712395, скорость обучения: 0.07290000000000002
2024-04-22 17:56:04 Эпоха 81, ошибка: 0.017681066997296747, скорость обучения: 0.07290000000000002
2024-04-22 17:57:08 Эпоха 82, ошибка: 0.017710329125511536, скорость обучения: 0.06561000000000002
2024-04-22 17:58:11 Эпоха 83, ошибка: 0.01771329845847961, скорость обучения: 0.05904900000000002
2024-04-22 17:59:14 Эпоха 84, ошибка: 0.01771715053221195, скорость обучения: 0.05314410000000002
2024-04-22 18:00:18 Эпоха 85, ошибка: 0.017721643577375577, скорость обучения: 0.04782969000000002
2024-04-22 18:01:21 Эпоха 86, ошибка: 0.017726553825564085, скорость обучения: 0.043046721000000024
2024-04-22 18:02:25 Эпоха 87, ошибка: 0.017731691871270692, скорость обучения: 0.03874204890000002
2024-04-22 18:03:28 Эпоха 88, ошибка: 0.017736905874479035, скорость обучения: 0.03486784401000002
2024-04-22 18:04:32 Эпоха 89, ошибка: 0.017742078956246535, скорость обучения: 0.03138105960900001
2024-04-22 18:05:36 Эпоха 90, ошибка: 0.017747124403762443, скорость обучения: 0.028242953648100012
2024-04-22 18:06:39 Эпоха 91, ошибка: 0.01775198041644221, скорость обучения: 0.025418658283290013
2024-04-22 18:07:43 Эпоха 92, ошибка: 0.017756605172807746, скорость обучения: 0.022876792454961013
2024-04-22 18:08:47 Эпоха 93, ошибка: 0.01776097252189807, скорость обучения: 0.020589113209464913
2024-04-22 18:09:54 Эпоха 94, ошибка: 0.017765068371095004, скорость обучения: 0.01853020188851842
2024-04-22 18:11:00 Эпоха 95, ошибка: 0.017768887735603697, скорость обучения: 0.01667718169966658
2024-04-22 18:12:06 Эпоха 96, ошибка: 0.017772432371754215, скорость обучения: 0.015009463529699923
2024-04-22 18:13:12 Эпоха 97, ошибка: 0.01777570890469154, скорость обучения: 0.013508517176729932
2024-04-22 18:14:20 Эпоха 98, ошибка: 0.01777872736420446, скорость обучения: 0.01215766545905694
2024-04-22 18:15:28 Эпоха 99, ошибка: 0.017781500051818163, скорость обучения: 0.010941898913151246
2024-04-22 18:16:35 Эпоха 100, ошибка: 0.01778404067352196, скорость обучения: 0.009847709021836121
2024-04-22 18:17:44 Эпоха 101, ошибка: 0.017786363683555267, скорость обучения: 0.00886293811965251
2024-04-22 18:18:54 Эпоха 102, ошибка: 0.017788483794629443, скорость обучения: 0.007976644307687259
2024-04-22 18:20:05 Эпоха 103, ошибка: 0.017790415618529693, скорость обучения: 0.007178979876918534
2024-04-22 18:21:16 Эпоха 104, ошибка: 0.01779217340820373, скорость обучения: 0.006461081889226681
2024-04-22 18:22:29 Эпоха 105, ошибка: 0.01779377087833245, скорость обучения: 0.005814973700304013
2024-04-22 18:23:39 Эпоха 106, ошибка: 0.017795221086157047, скорость обучения: 0.005233476330273611
2024-04-22 18:24:50 Эпоха 107, ошибка: 0.017796536358186833, скорость обучения: 0.00471012869724625
2024-04-22 18:26:02 Эпоха 108, ошибка: 0.017797728251494043, скорость обучения: 0.004239115827521626
2024-04-22 18:27:17 Эпоха 109, ошибка: 0.01779880754075704, скорость обучения: 0.0038152042447694634
2024-04-22 18:28:36 Эпоха 110, ошибка: 0.0177997842241634, скорость обучения: 0.003433683820292517
2024-04-22 18:29:56 Эпоха 111, ошибка: 0.01780066754282984, скорость обучения: 0.0030903154382632653
2024-04-22 18:31:14 Эпоха 112, ошибка: 0.01780146600961429, скорость обучения: 0.002781283894436939
2024-04-22 18:32:34 Эпоха 113, ошибка: 0.017802187444159793, скорость обучения: 0.002503155504993245
2024-04-22 18:33:56 Эпоха 114, ошибка: 0.01780283901176129, скорость обучения: 0.0022528399544939205
2024-04-22 18:35:12 Эпоха 115, ошибка: 0.017803427264244102, скорость обучения: 0.0020275559590445286
2024-04-22 18:36:29 Эпоха 116, ошибка: 0.017803958181501617, скорость обучения: 0.0018248003631400759
2024-04-22 18:37:48 Эпоха 117, ошибка: 0.017804437212703646, скорость обучения: 0.0016423203268260682
