2024-04-22 22:21:54 Размерность обучающей выборки: (8000, 4)
2024-04-22 22:21:54 Размерность тестовой выборки: (2000, 4)
2024-04-22 22:21:55 Количество правил: -  3125
2024-04-22 22:26:56 
2024-04-22 22:26:56 Mean Squared Error (MSE): 0.061530798198548724
2024-04-22 22:26:56 start gradient descent
2024-04-22 22:29:15 Эпоха 1, ошибка: 0.1059925721708518, скорость обучения: 0.1
2024-04-22 22:31:43 Эпоха 2, ошибка: 0.12673202239689296, скорость обучения: 0.1
2024-04-22 22:34:11 Эпоха 3, ошибка: 0.11149671663736296, скорость обучения: 0.1
2024-04-22 22:36:41 Эпоха 4, ошибка: 0.10431174251878778, скорость обучения: 0.1
2024-04-22 22:39:08 Эпоха 5, ошибка: 0.10309497275794167, скорость обучения: 0.1
2024-04-22 22:41:37 Эпоха 6, ошибка: 0.10445466302119831, скорость обучения: 0.1
2024-04-22 22:44:08 Эпоха 7, ошибка: 0.10514722973869363, скорость обучения: 0.1
2024-04-22 22:46:36 Эпоха 8, ошибка: 0.105450715541859, скорость обучения: 0.1
2024-04-22 22:49:06 Эпоха 9, ошибка: 0.10617052602066203, скорость обучения: 0.1
2024-04-22 22:51:37 Эпоха 10, ошибка: 0.10667870039735353, скорость обучения: 0.09000000000000001
2024-04-22 22:54:07 Эпоха 11, ошибка: 0.10193002176690825, скорость обучения: 0.09000000000000001
2024-04-22 22:56:37 Эпоха 12, ошибка: 0.10171753638139933, скорость обучения: 0.09000000000000001
2024-04-22 22:59:06 Эпоха 13, ошибка: 0.10170165485650164, скорость обучения: 0.09000000000000001
2024-04-22 23:01:34 Эпоха 14, ошибка: 0.10171456877751649, скорость обучения: 0.09000000000000001
2024-04-22 23:04:05 Эпоха 15, ошибка: 0.10173384933897854, скорость обучения: 0.09000000000000001
2024-04-22 23:06:34 Эпоха 16, ошибка: 0.10175147048187651, скорость обучения: 0.09000000000000001
2024-04-22 23:09:04 Эпоха 17, ошибка: 0.10176544434846187, скорость обучения: 0.09000000000000001
2024-04-22 23:11:37 Эпоха 18, ошибка: 0.1017759264635917, скорость обучения: 0.08100000000000002
2024-04-22 23:14:08 Эпоха 19, ошибка: 0.09719050869919443, скорость обучения: 0.08100000000000002
2024-04-22 23:16:37 Эпоха 20, ошибка: 0.09705925789071912, скорость обучения: 0.08100000000000002
2024-04-22 23:19:10 Эпоха 21, ошибка: 0.09705205487878685, скорость обучения: 0.08100000000000002
2024-04-22 23:21:40 Эпоха 22, ошибка: 0.0970866336187106, скорость обучения: 0.08100000000000002
2024-04-22 23:24:11 Эпоха 23, ошибка: 0.09713018770515544, скорость обучения: 0.08100000000000002
2024-04-22 23:26:38 Эпоха 24, ошибка: 0.09717283198908226, скорость обучения: 0.08100000000000002
2024-04-22 23:29:08 Эпоха 25, ошибка: 0.0972117799787858, скорость обучения: 0.08100000000000002
2024-04-22 23:31:38 Эпоха 26, ошибка: 0.0972464829414244, скорость обучения: 0.07290000000000002
2024-04-22 23:34:07 Эпоха 27, ошибка: 0.09326164050027179, скорость обучения: 0.07290000000000002
2024-04-22 23:36:36 Эпоха 28, ошибка: 0.09353753950412431, скорость обучения: 0.07290000000000002
2024-04-22 23:39:06 Эпоха 29, ошибка: 0.0936862275414733, скорость обучения: 0.07290000000000002
2024-04-22 23:41:31 Эпоха 30, ошибка: 0.09379592594410074, скорость обучения: 0.07290000000000002
2024-04-22 23:43:58 Эпоха 31, ошибка: 0.09388913542233175, скорость обучения: 0.07290000000000002
2024-04-22 23:46:28 Эпоха 32, ошибка: 0.09397261013787911, скорость обучения: 0.06561000000000002
2024-04-22 23:48:55 Эпоха 33, ошибка: 0.09061497199591828, скорость обучения: 0.06561000000000002
2024-04-22 23:51:24 Эпоха 34, ошибка: 0.09095238603318918, скорость обучения: 0.06561000000000002
2024-04-22 23:53:52 Эпоха 35, ошибка: 0.09112113325463231, скорость обучения: 0.06561000000000002
2024-04-22 23:56:19 Эпоха 36, ошибка: 0.09122025386058703, скорость обучения: 0.06561000000000002
2024-04-22 23:58:48 Эпоха 37, ошибка: 0.09136144432501761, скорость обучения: 0.06561000000000002
2024-04-23 00:01:15 Эпоха 38, ошибка: 0.09154081528683433, скорость обучения: 0.05904900000000002
